recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R2039,70,7056,neck,orange,362 Royal,190 Raj,878 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7056 Nake 400.JPG,37 Pcs,high
R2040,70,7056,neck,pink,825 L Royal,190 Raj,359 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7056 Nake 400.JPG,35 Pcs,high
R2044,70,7087,neck,blue,130 L Royal,325 Royal,864 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7087 Nake 400.JPG,,high
R2045,70,7087,neck,pink,305 Royal,325 Royal,797 Royal,,,,,Jeetubhai Images\OS New folder (7) Images\7087 Nake 400.JPG,,high
R2046,70,7087,neck,yellow,805 Royal,324 Royal,936 Raj,,,,,Jeetubhai Images\OS New folder (7) Images\7087 Nake 400.JPG,,high
R2053,70,8032,neck,c green,315 Raj,712 Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2054,70,8032,neck,green,315 Raj,849 Raj,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2055,70,8032,neck,pink,315 Raj,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2056,70,8032,neck,purple,88 Royal,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2057,70,8032,neck,red,731 Royal,MMD Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2058,70,8032,neck,yellow,190 Raj,M Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8032 Neck 250.JPG,shared 8053/8032,high
R2065,70,8053,neck,c green,315 Raj,712 Royal,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
R2066,70,8053,neck,green,315 Raj,849 Raj,118 C Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8053 Neck 400.BMP,shared 8053/8032,high
