design_no,part_raw,part_clean,image_path,filename
1215,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1215 Border 200.JPG,1215 Border 200.JPG
1215,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1215 Neck 400.JPG,1215 Neck 400.JPG
1216,Astin Butta 400,Astin Butta,Jeetubhai Images\OS New folder (12) Images\1216 Astin Butta 400.JPG,1216 Astin Butta 400.JPG
1216,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1216 Neck 400.JPG,1216 Neck 400.JPG
1217,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1217 Border 200.JPG,1217 Border 200.JPG
1217,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1217 Neck 400.JPG,1217 Neck 400.JPG
1218,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1218 Astin 400.JPG,1218 Astin 400.JPG
1218,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1218 Border 200.JPG,1218 Border 200.JPG
1218,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1218 Neck 400.JPG,1218 Neck 400.JPG
1219,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1219 Border 200.JPG,1219 Border 200.JPG
1219,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1219 Neck 400.JPG,1219 Neck 400.JPG
1220,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1220 Border 200.JPG,1220 Border 200.JPG
1220,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1220 Neck 400.JPG,1220 Neck 400.JPG
1221,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1221 Astin 400.JPG,1221 Astin 400.JPG
1221,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1221 Neck 400.JPG,1221 Neck 400.JPG
1222,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1222 Border 200.JPG,1222 Border 200.JPG
1222,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1222 Neck 400.JPG,1222 Neck 400.JPG
1223,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1223 Border 200.JPG,1223 Border 200.JPG
1223,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1223 Neck 400.JPG,1223 Neck 400.JPG
1224,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1224 Astin 400.JPG,1224 Astin 400.JPG
1224,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1224 Neck 400.JPG,1224 Neck 400.JPG
1225,Border 200,Border,Jeetubhai Images\OS New folder (12) Images\1225 Border 200.JPG,1225 Border 200.JPG
1225,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1225 Neck 400.JPG,1225 Neck 400.JPG
1226,Astin 400,Astin,Jeetubhai Images\OS New folder (12) Images\1226 Astin 400.JPG,1226 Astin 400.JPG
1226,Neck 400,Neck,Jeetubhai Images\OS New folder (12) Images\1226 Neck 400.JPG,1226 Neck 400.JPG
