recipe_id,source_page,design_no,parts,cloth,n1,n2,n3,n4,n5,tikli,jari_note,image,notes,clarity
R1987,68,8039,neck,,118 L Royal,316 Raj,345 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8039 Neck 250.BMP,all common; shared 8039/8040,high
R1988,68,8040,kp,,118 L Royal,316 Raj,345 Royal,,,,,Jeetubhai Images\OS New folder (8) Images\8040 KP 200.BMP|Jeetubhai Images\OS New folder (8) Images\8040 KP 250.BMP,all common; shared 8039/8040,high
R1989,68,8044,neck,,315 Royal,1004 D Royal,98 D Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8044 Neck 250.BMP,shared 8044/5066; 42 KP,high
R1990,68,8044,neck,,315 Royal,1004 D Royal,722 Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8044 Neck 250.BMP,shared 8044/5066; 42 KP,high
R1991,68,8044,neck,,315 Royal,235 Royal,188 T Raj,,,,,Jeetubhai Images\OS New folder (8) Images\8044 Neck 250.BMP,shared 8044/5066; 36 KP,high
R1998,68,8083,neck+border,,49 U Royal,190 Raj,104 L Royal,168 Royal,343 Royal,,,Jeetubhai Images\OS New folder (8) Images\8083 Border 200.BMP|Jeetubhai Images\OS New folder (8) Images\8083 Neck 200.BMP,,high
R1999,68,8083,neck+border,,49 U Royal,190 Raj,104 L Royal,168 Royal,45 Royal,,,Jeetubhai Images\OS New folder (8) Images\8083 Border 200.BMP|Jeetubhai Images\OS New folder (8) Images\8083 Neck 200.BMP,,high
R2000,68,8083,neck+border,,49 U Royal,190 Raj,313 Royal,168 Royal,936 Raj,,,Jeetubhai Images\OS New folder (8) Images\8083 Border 200.BMP|Jeetubhai Images\OS New folder (8) Images\8083 Neck 200.BMP,,high
R2002,69,5000,neck+border,,35 D Royal,17 N Royal,313 Royal,779 Royal,414 Royal,,,Jeetubhai Images\OS New folder (4) Images\5000 Neck.BMP,,high
R2003,69,5000,neck+border,,779 Royal,414 Royal,313 Royal,6 Royal,23 Raj,,,Jeetubhai Images\OS New folder (4) Images\5000 Neck.BMP,,high
